author_id,affiliation
3264115.0,UPC
2107388592.0,Amazon
2390222.0,Barcelona Supercomputing Center
2333098289.0,Google
2215366873.0,UPC
4845697.0,MIT
5631699.0,UPC
2118105652.0,Barcelona Supercomputing Center
2277998223.0,Amazon
2057489587.0,Google
87183019.0,Google
3743206.0,MIT
19197436.0,MIT
32110785.0,Amazon
35915010.0,Barcelona Supercomputing Center
2796171.0,MIT
49961911.0,Barcelona Supercomputing Center
91693953.0,Google
2099346449.0,Amazon
119917948.0,Barcelona Supercomputing Center
51049417.0,ETH Zurich
103469946.0,ETH Zurich
117861241.0,UPC
14244549.0,Amazon
116725093.0,UPC
4202330.0,MIT
144372331.0,ETH Zurich
2405670.0,MIT
1746497.0,UPC
144037657.0,MIT
1936727.0,UPC
2108003.0,Amazon
1435555187.0,UPC
65877390.0,MIT
117304181.0,Amazon
1515960854.0,ETH Zurich
2849938.0,Amazon
48951846.0,MIT
116308665.0,ETH Zurich
2252773956.0,Google
66776352.0,Barcelona Supercomputing Center
144601848.0,Barcelona Supercomputing Center
2296198466.0,Google
2123303.0,ETH Zurich
2278254384.0,Amazon
2980045.0,Barcelona Supercomputing Center
148003214.0,Barcelona Supercomputing Center
2052271800.0,Google
73126317.0,UPC
71464544.0,Barcelona Supercomputing Center
2247185676.0,UPC
7980166.0,ETH Zurich
4512009.0,UPC
40158711.0,Google
38180375.0,ETH Zurich
135843017.0,Amazon
101541012.0,Amazon
92690654.0,Barcelona Supercomputing Center
151201154.0,UPC
2244770279.0,Amazon
15395373.0,Barcelona Supercomputing Center
70046032.0,ETH Zurich
88112395.0,UPC
46278269.0,Barcelona Supercomputing Center
33340475.0,Google
4412872.0,Google
47044099.0,Amazon
5208474.0,UPC
2022439584.0,MIT
144185344.0,Amazon
2249891404.0,UPC
2116725650.0,MIT
4358933.0,ETH Zurich
2129442228.0,Barcelona Supercomputing Center
117643624.0,Barcelona Supercomputing Center
2106121582.0,MIT
46760309.0,Google
66069098.0,UPC
2216089451.0,ETH Zurich
47658585.0,MIT
91474745.0,UPC
71760407.0,Amazon
1398742566.0,UPC
3656616.0,Amazon
145245211.0,Amazon
2135260509.0,Amazon
145765535.0,MIT
2057504851.0,MIT
31552568.0,Barcelona Supercomputing Center
48593340.0,Amazon
2116335445.0,Amazon
13779342.0,Google
121706166.0,MIT
6086660.0,UPC
120403011.0,UPC
120194046.0,ETH Zurich
2645913.0,Barcelona Supercomputing Center
50203979.0,Google
48462846.0,Amazon
103074527.0,Barcelona Supercomputing Center
4421779.0,Amazon
3169811.0,ETH Zurich
2257024873.0,MIT
34875079.0,Amazon
135463164.0,UPC
50443132.0,Barcelona Supercomputing Center
8338589.0,MIT
1672408062.0,Barcelona Supercomputing Center
40791099.0,Amazon
82258781.0,UPC
2264740605.0,ETH Zurich
40526371.0,MIT
49716876.0,MIT
2258764272.0,ETH Zurich
2087045687.0,MIT
1422497256.0,Amazon
2070426404.0,Amazon
2153632781.0,Google
145644749.0,UPC
5248679.0,ETH Zurich
115208069.0,UPC
2309994377.0,ETH Zurich
2108819965.0,MIT
5494237.0,UPC
15026505.0,Google
7504938.0,Barcelona Supercomputing Center
4688592.0,Google
144765973.0,Barcelona Supercomputing Center
2927880.0,Amazon
2331906893.0,Amazon
6394882.0,Google
2081734570.0,Google
145660432.0,UPC
2083204696.0,MIT
74574826.0,Barcelona Supercomputing Center
2108080436.0,Barcelona Supercomputing Center
2440544.0,Google
2088748.0,UPC
2153278214.0,Google
32744850.0,ETH Zurich
101368481.0,ETH Zurich
122097044.0,Google
2106472431.0,Amazon
16253887.0,UPC
47860835.0,Barcelona Supercomputing Center
5631853.0,Amazon
114956475.0,Google
29980276.0,Amazon
2265729794.0,UPC
1413838624.0,MIT
145678709.0,ETH Zurich
2756604.0,MIT
72159414.0,ETH Zurich
2243994397.0,Amazon
2308490924.0,Google
2081896007.0,ETH Zurich
2128385473.0,ETH Zurich
66038691.0,Amazon
2157692358.0,Google
84545531.0,Amazon
2107487401.0,ETH Zurich
1860974098.0,MIT
2323900823.0,Google
51068478.0,MIT
145182770.0,ETH Zurich
6392760.0,Barcelona Supercomputing Center
144597064.0,MIT
2081729047.0,Barcelona Supercomputing Center
67117784.0,UPC
90565477.0,MIT
2041969290.0,Google
40491718.0,Google
2058752896.0,MIT
72739566.0,Barcelona Supercomputing Center
145972309.0,MIT
2308979159.0,Barcelona Supercomputing Center
1411174516.0,UPC
4104693.0,ETH Zurich
145110526.0,UPC
2109350140.0,Barcelona Supercomputing Center
2333098786.0,UPC
2304458155.0,Amazon
83171703.0,Amazon
92475461.0,ETH Zurich
7719650.0,UPC
15158204.0,Barcelona Supercomputing Center
2111082915.0,Barcelona Supercomputing Center
2115825936.0,UPC
69954095.0,Barcelona Supercomputing Center
49455301.0,ETH Zurich
145869040.0,Barcelona Supercomputing Center
2066665882.0,Google
3512682.0,Google
136382649.0,MIT
34984244.0,Google
2103044521.0,Barcelona Supercomputing Center
73447386.0,Barcelona Supercomputing Center
2071256447.0,Amazon
35587077.0,Barcelona Supercomputing Center
4532560.0,ETH Zurich
14400726.0,MIT
120725313.0,Amazon
3221680.0,UPC
144659026.0,Google
2022736584.0,Google
3382061.0,ETH Zurich
40587150.0,ETH Zurich
86989501.0,ETH Zurich
2728463.0,Barcelona Supercomputing Center
9841154.0,MIT
113672084.0,Barcelona Supercomputing Center
40206664.0,ETH Zurich
2130146519.0,MIT
31813337.0,Amazon
104223733.0,Amazon
2048724230.0,Google
2142120861.0,Amazon
1981502.0,Barcelona Supercomputing Center
121493816.0,ETH Zurich
49453978.0,Barcelona Supercomputing Center
2817307.0,MIT
2262355.0,Google
2239189028.0,Barcelona Supercomputing Center
8147884.0,Barcelona Supercomputing Center
1400978217.0,Barcelona Supercomputing Center
84552877.0,Google
2264022161.0,Amazon
2157169412.0,ETH Zurich
