edition_id,conference_name
,Annual Conference Computational Learning Theory
2016 4th International Conference on Robotics and Mechatronics (ICROM),International Conference on Robotics and Mechatronics
,International Conference on Artificial Neural Networks
2021 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus),IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering
"2003 IEEE International Conference on Consumer Electronics, 2003. ICCE.","2003 IEEE International Conference on Consumer Electronics, 2003. ICCE."
,Annual Conference Computational Learning Theory
2021 IEEE 15th International Conference on Electronic Measurement & Instruments (ICEMI),IEEE International Conference on Electronic Measurement & Instruments
1990 Winter Simulation Conference Proceedings,Winter simulation conference : proceedings
30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135),30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135)
25th International Conference on Infrared and Millimeter Waves (Cat. No.00EX442),International Memory Workshop
2024 IEEE 20th International Conference on Intelligent Computer Communication and Processing (ICCP),International Conference on Computational Photography
"2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)","International Conference on Modern Problems of Radio Engineering, Telecommunications and Computer Science"
2017 IEEE Conference on Control Technology and Applications (CCTA),Conference on Control Technology and Applications
Journal of Physics: Conference Series,Journal of Physics: Conference Series
,International Symposium on Mathematical Foundations of Computer Science
2006 1ST IEEE Conference on Industrial Electronics and Applications,2006 1ST IEEE Conference on Industrial Electronics and Applications
2012 IEEE 75th Vehicular Technology Conference (VTC Spring),IEEE Vehicular Technology Conference
2008 Conference on Precision Electromagnetic Measurements Digest,2008 Conference on Precision Electromagnetic Measurements Digest
2018 21st International Conference on Intelligent Transportation Systems (ITSC),International Conference on Intelligent Transportation Systems
ITM Web of Conferences,ITM Web of Conferences
"IEEE International Electric Machines and Drives Conference, 2003. IEMDC'03.","IEEE International Electric Machines and Drives Conference, 2003. IEMDC'03."
2011 5th International Conference on Bioinformatics and Biomedical Engineering,International Conferences on Biomedical and Bioinformatics Engineering
2021 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),Asia-Pacific Signal and Information Processing Association Annual Summit and Conference
EPJ Web of Conferences,EPJ Web of Conferences
Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164),Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164)
2016 IEEE International Conference on Consumer Electronics (ICCE),IEEE International Conference on Consumer Electronics
2013 Fifth International Conference on Communication Systems and Networks (COMSNETS),International Conference on Communication Systems and Networks
IOP Conference Series: Earth and Environmental Science,IOP Conference Series: Earth and Environment
2018 IEEE Global Communications Conference (GLOBECOM),Global Communications Conference
2015 IEEE International Conference on Advanced Intelligent Mechatronics (AIM),IEEE International Conference on Advanced Intelligent Mechatronics
2008 Panhellenic Conference on Informatics,Panhellenic Conference on Informatics
