experiment,hits@10,hits@5,hits@3,hits@1,MMR,MeanRank
TransE_d256_n1,0.037,0.023,0.011,0.003,63.492993572420055,2521.20654296875
TransE_d128_n5,0.098,0.041,0.023,0.01,29.420215111839042,2371.048583984375
ComplEx_d256_n1,0.002,0.001,0.0,0.0,1053.2111188798112,4775.43359375
ComplEx_d128_n5,0.0,0.0,0.0,0.0,1527.652425304519,4632.58203125
RotatE_d256_n5,0.109,0.071,0.058,0.027,18.596047781096622,1028.237060546875
TransH_d256_n5,0.107,0.064,0.047,0.018,20.27902917679225,2784.43310546875
RotatE_d128_n1,0.079,0.05,0.034,0.022,24.516552149426733,1247.406982421875
TransH_d128_n1,0.106,0.055,0.036,0.015,22.744407470364578,3252.6650390625
ComplEx_d128_n1,0.0,0.0,0.0,0.0,1604.2912768939116,4898.212890625
ComplEx_d256_n5,0.002,0.0,0.0,0.0,1159.965621003937,4709.7099609375
TransE_d128_n1,0.076,0.054,0.042,0.015,26.646666703064408,2720.736572265625
TransE_d256_n5,0.083,0.047,0.03,0.007,30.3653010722377,2098.85693359375
RotatE_d128_n5,0.105,0.067,0.045,0.025,19.946386380171155,1011.2570190429688
TransH_d128_n5,0.115,0.058,0.038,0.01,23.96237226145101,2856.883544921875
RotatE_d256_n1,0.056,0.02,0.011,0.004,50.83352099862934,1429.844970703125
TransH_d256_n1,0.109,0.065,0.042,0.018,21.079940060464107,3275.636474609375
