id_paper,cites_value
101981808,108229363
101981808,242361599
101981808,189265637
145852445,228804436
145852445,244767641
145852445,218288923
186291484,126664440
186291484,128916654
186291484,156067902
129450515,135795301
129450515,268829187
129450515,126664440
121058446,252367265
121058446,40288433
121058446,171022110
247869760,43094124
247869760,32999889
247869760,165097918
168414984,193506967
168414984,83121456
168414984,202512813
182380064,145943433
182380064,248442242
182380064,67865972
200071997,153535830
200071997,15487862
200071997,62173528
125468,41327110
125468,265433109
125468,194421838
2584989,129052524
2584989,246904106
2584989,93058293
186421253,232843758
186421253,156682220
186421253,216652670
209862209,102319425
209862209,159471213
209862209,265449953
72296969,71205265
72296969,256024653
72296969,269529355
31445723,246852339
31445723,262378498
31445723,233698238
108521175,123102535
108521175,52892151
108521175,143387588
230066111,273459806
230066111,179126785
230066111,124282210
158785904,244921312
158785904,218778706
158785904,139109083
28708938,95789001
28708938,128892391
28708938,59519296
120908459,36852234
120908459,11960891
120908459,98089442
99530052,90470397
99530052,177359170
99530052,177996872
74014199,72131596
74014199,147319514
74014199,271039807
1538400,193422654
1538400,20578947
1538400,269893623
5531431,266000288
5531431,45488528
5531431,143268734
139696448,193744423
139696448,253214301
139696448,253440756
232037089,20657163
232037089,18527211
232037089,182662014
75382870,74253436
75382870,117008452
75382870,245613163
124330025,173228676
124330025,97045296
124330025,104928534
228382780,172981356
228382780,84949233
228382780,244767641
153535830,123111873
153535830,17090623
153535830,228790975
163842104,79514388
163842104,216579098
163842104,53108524
182662014,98722530
182662014,238182177
182662014,158886561
146617912,241431325
146617912,142666426
146617912,5531431
258051377,100221604
258051377,73420227
258051377,260761391
8841793,270439980
8841793,261533933
8841793,127274159
75054458,186386478
75054458,84329800
75054458,15487862
223020377,18019367
223020377,1585773
223020377,83185145
95842250,180851446
95842250,11712803
95842250,95706601
254542192,22458615
254542192,203490721
254542192,148751422
45921803,209697127
45921803,170127812
45921803,133242855
44260310,120458783
44260310,120421105
44260310,23366497
63995323,34562712
63995323,123858958
63995323,176105454
78726194,163309631
78726194,1538400
78726194,98502109
28377837,224775136
28377837,17085949
28377837,160443176
179770104,217130469
179770104,268670837
179770104,58698005
156070351,94706833
156070351,52832558
156070351,152490285
189510671,221703569
189510671,253440756
189510671,85183888
231796234,165795643
231796234,180563212
231796234,1333243
10108530,226781671
10108530,7626067
10108530,112731969
276502410,10823459
276502410,257934434
276502410,59247798
5949008,124872297
5949008,76087004
5949008,108696045
79755043,52832558
79755043,79698507
79755043,32204444
251346531,124872297
251346531,228219693
251346531,90048111
167454971,20129802
167454971,266192920
167454971,208100330
188094796,160443176
188094796,132963287
188094796,162586003
124796951,185395906
124796951,89497667
124796951,68957200
46448766,115758949
46448766,186386478
46448766,110396725
238757278,11253311
238757278,1538400
238757278,189727316
26409755,89562417
26409755,144834130
26409755,268633557
26003055,199667687
26003055,234664153
26003055,46448766
8807151,45445531
8807151,251028013
8807151,180204299
44569165,297866
44569165,160470224
44569165,240108624
84267200,240534061
84267200,189114314
84267200,85128723
167401804,189101667
167401804,239282081
167401804,90572846
27819708,197033523
27819708,202211950
27819708,222548490
275294540,11960891
275294540,203600534
275294540,41283967
18495988,6841000
18495988,146061299
18495988,90415210
139112949,276618343
139112949,145943433
139112949,156354689
130445160,106944413
130445160,122539158
130445160,168903573
223874910,96176540
223874910,85648104
223874910,193215078
258986251,32558898
258986251,188542423
258986251,17090623
204150707,67823931
204150707,181135807
204150707,122539158
209199048,104420589
209199048,123111873
209199048,190595972
89394830,89562417
89394830,113500795
89394830,180267999
92240370,177242513
92240370,39533802
92240370,241935432
45488528,30101737
45488528,254542192
45488528,213285891
192016747,113704412
192016747,21130308
192016747,202676897
208710527,220632530
208710527,85183888
