author_id,author_name
3264115,V. Unnithan
2107388592,T. Smith
2390222,P. Gallejones
2333098289,Marco Antônio Vicente
2215366873,Joanna Yeung
4845697,N. Sneige
5631699,J. Wen
2118105652,Chung-Yi Wang
2277998223,Lei Jiang
2057489587,R. Strauss
87183019,Bohn Stafleu van Loghum
3743206,M. Trněný
19197436,B. Ozkaya
32110785,M. McKelvy
35915010,F. Rozi
2796171,T. Churcher
49961911,Zhou Ke
91693953,M. Martin-Delgado
2099346449,К П Лужецкий
119917948,Yong-jun Wang
51049417,Juan Jia
103469946,Ruzikna Ruzikna
117861241,M. G. Pereira
14244549,K. Brackstone
116725093,Dia Widyawati binti Amat
4202330,R. Stolove
144372331,V. R. Rao
2405670,E. Katz
1746497,J. Peleska
144037657,Tong Zhang
1936727,F. Hundertmark
2108003,D. Hu
1435555187,サンダース，イラ
65877390,A. Odugbesi
117304181,Eliza Markley
1515960854,Guo Chun-d
2849938,Loretta Guarino Reid
48951846,J. De Backer
116308665,Ikbal Marus
2252773956,Sydney R. Resnik
66776352,中原 信生
144601848,S. Mcneill
2296198466,Anna Vilanova
2123303,S. Weggen
2278254384,Sébastien Robert
2980045,H. Albrecher
148003214,Sukhatskii Aleksei Andreevich
2052271800,M. Norman
73126317,장익진
71464544,Paraskevi Michelaki
2247185676,Makoto Takeda
7980166,G. Marsily
4512009,J. Kang
40158711,P. Defrance
38180375,G. D. Vries
135843017,徐传宏
101541012,Doutora em Educação
92690654,Wang-Geng Zhang
151201154,Saverio Bellizzi
2244770279,Wen Li
15395373,B. M. Ashurov
70046032,刘晓红
88112395,B. 0. Capó
46278269,M. Roetteler
33340475,A. Oppenheim
4412872,A. S. Eraghi
47044099,F. Sosa
5208474,J. Bonica
2022439584,Jacques deca. Saint-Luc
144185344,R. French
2249891404,H. Stanley
2116725650,Shu Li
4358933,N. Aissaoui
2129442228,Chaeyoung Lee
117643624,A. Carlucci
2106121582,M. Dorn
46760309,J. Tapp
66069098,高橋 俊也
2216089451,W. P. Wesselhœft
47658585,Crispin Bates
91474745,F. Cloke
71760407,杨东庆
1398742566,F. Bakhshi-Raiez
3656616,R. Bentall
145245211,X. Qiu
2135260509,Zilá Aparecida Soares Pereira
145765535,E. Li
2057504851,J. Mann
31552568,M. D. Jager
48593340,Ester Sánchez
2116335445,Joshua D. Miller
13779342,Zhijun Wu
121706166,Princeton Univ.
6086660,A. Khani
120403011,楢橋 敏夫
120194046,A. John
2645913,Michaela A. Balzarova
50203979,Dongwon Kim
48462846,T. Ditting
103074527,Y. Zenkevich
4421779,E. Neiterman
3169811,K. Black
2257024873,Kyujin Shin
34875079,M. Butkus
135463164,古賀 暹
50443132,S. Yu
8338589,N. Tsoureas
1672408062,村山洋之介
40791099,Ji Su
82258781,井上 鉄三
2264740605,Dora Fohring
40526371,D. Keller
49716876,D. Turner
2258764272,Andrew McRae
2087045687,Lin Qin
1422497256,Z. A. Al-Dulaimy
2070426404,J. Patel
2153632781,Yu Zhang
145644749,T. Kuznetsova
5248679,Minhao Yu
115208069,S. Mehrez
2309994377,An-zhou Tang
2108819965,Dong Li
5494237,D. D. Wit
15026505,G. Z. Campagnone
7504938,Konstantinos Pavlakis
4688592,M. Uppin
144765973,P. Faccioli
2927880,V. Aggarwal
2331906893,Afreen Bano
6394882,Yukou Du
2081734570,Dirk Dennig
145660432,J. Skolnick
2083204696,E. Seiferle
74574826,H. Teruya
2108080436,Yuxi Zhang
2440544,P. C. Vinh
2088748,O. Cirpka
2153278214,Yang Qiu
32744850,E. Patz
101368481,F. Reuther
122097044,K. Simon
2106472431,B. Carter
16253887,D. Berkland
47860835,Huiwen He
5631853,F. Lipschultz
114956475,坂口和彦
29980276,L. Zhang
2265729794,Yuki Yoshimoto
1413838624,Lucía López‐Polín
145678709,L. Björk
