edition_id,year,city,num
2006 1ST IEEE Conference on Industrial Electronics and Applications,2006,unknown,unknown
ITM Web of Conferences,2022,unknown,unknown
"2003 IEEE International Conference on Consumer Electronics, 2003. ICCE.",2003,unknown,unknown
"IEEE International Electric Machines and Drives Conference, 2003. IEMDC'03.",2003,unknown,unknown
,2013,unknown,unknown
2012 IEEE 75th Vehicular Technology Conference (VTC Spring),2012,unknown,unknown
,2006,unknown,unknown
2016 4th International Conference on Robotics and Mechatronics (ICROM),2016,unknown,unknown
2017 IEEE Conference on Control Technology and Applications (CCTA),2017,unknown,unknown
,2003,unknown,unknown
2016 IEEE International Conference on Consumer Electronics (ICCE),2016,unknown,unknown
1990 Winter Simulation Conference Proceedings,1990,unknown,unknown
2008 Conference on Precision Electromagnetic Measurements Digest,2008,unknown,unknown
2021 IEEE 15th International Conference on Electronic Measurement & Instruments (ICEMI),2021,unknown,unknown
2021 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),2021,unknown,unknown
Journal of Physics: Conference Series,2022,unknown,unknown
2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,unknown,unknown
30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135),2000,unknown,unknown
,2012,unknown,unknown
2013 Fifth International Conference on Communication Systems and Networks (COMSNETS),2013,unknown,unknown
25th International Conference on Infrared and Millimeter Waves (Cat. No.00EX442),2000,unknown,unknown
2024 IEEE 20th International Conference on Intelligent Computer Communication and Processing (ICCP),2024,unknown,unknown
2021 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus),2021,unknown,unknown
2018 IEEE Global Communications Conference (GLOBECOM),2018,unknown,unknown
EPJ Web of Conferences,2023,unknown,unknown
Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164),2001,unknown,unknown
IOP Conference Series: Earth and Environmental Science,2022,unknown,unknown
2015 IEEE International Conference on Advanced Intelligent Mechatronics (AIM),2015,unknown,unknown
2018 21st International Conference on Intelligent Transportation Systems (ITSC),2018,unknown,unknown
2008 Panhellenic Conference on Informatics,2008,unknown,unknown
"2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)",2020,unknown,unknown
