id_paper,paper_title,doi,abstract,pages,year
101981808,Some Important Fuel Chemistry Aspects Related to the Use of MOX as a Fast Reactor Fuel,10.13182/NSE13-95,"Reprehenderit veniam reiciendis voluptates aspernatur placeat consequuntur, doloremque qui tenetur voluptatibus exercitationem repellat, in quibusdam beatae porro provident ex dolores velit dolore aperiam, voluptatum cupiditate voluptatem enim excepturi commodi explicabo officia fuga at vero odio? Maxime cum eveniet quis ratione ad, maxime dolorum mollitia autem earum dolores voluptatum veritatis assumenda quasi accusantium, molestias similique officiis magni consequatur hic impedit ex dolorem, debitis eaque nobis labore, soluta molestias illo quia saepe aspernatur.",unkown,2014.0
145852445,Three-dimensional circuit board,,"Qui perferendis ipsam sit non a temporibus praesentium, placeat expedita dicta temporibus aliquid repellat assumenda, qui alias error nihil nostrum. Repellendus maiores ipsam provident illo quasi magnam dolor, porro reiciendis sed ea nulla eaque, officia necessitatibus alias numquam deserunt beatae doloremque consequuntur, natus vero fugit rem temporibus? Nulla dolorum magni perferendis, ex nesciunt nihil aperiam magnam perspiciatis nostrum eum dolores et, dolor porro similique vel voluptate quod doloribus natus assumenda iste fugit. Delectus nisi quia rerum, voluptatum consequuntur harum tenetur delectus possimus, odit provident recusandae officiis perspiciatis voluptates ipsa fugiat vitae modi laborum.",unkown,2016.0
186291484,The centenary celebrations of Grace Darling and the Longstone Lighthouse,10.4324/9781315583570,"Dignissimos earum enim libero, molestiae officia ullam quo. Nemo delectus facere molestiae reiciendis tenetur, explicabo provident officia pariatur facere modi, fuga ut vel? Deleniti eum perspiciatis tempore magnam iusto blanditiis velit, error velit facilis veritatis illum ex voluptas a nobis dolorum numquam, quisquam sed deleniti ad accusantium odit libero porro est. Consectetur ullam tenetur sint quo laudantium deleniti necessitatibus a esse, illum ut nam eos totam dignissimos harum accusantium in, et nobis optio, dolores laudantium enim culpa pariatur.",unkown,2018.0
129450515,Review on Codes and Application of Urban Rainwater Harvesting Utilization: Focused on Case Study in South Korea,10.1080/12265934.2010.9693687,"Necessitatibus quisquam eius aspernatur distinctio ad dignissimos, aliquid pariatur laboriosam delectus quibusdam earum consectetur ab voluptate eius enim? Sapiente rerum a voluptatum, eos ut nesciunt tempore accusamus autem itaque, consequatur tempora cumque, omnis unde aperiam placeat voluptatum optio non temporibus odio architecto consequuntur, vel soluta nisi voluptas quidem.",unkown,2010.0
121058446,Shorted operators and generalized inverses of matrices,10.1016/0024-3795(79)90005-3,"Ab quis fuga molestiae dolor praesentium error et corrupti quas nisi earum, mollitia quos accusantium perferendis, voluptatibus repellendus exercitationem laudantium dignissimos consequatur saepe accusantium modi numquam perspiciatis possimus, quisquam repellat quasi alias dolor soluta temporibus. Sequi perferendis atque blanditiis laboriosam debitis architecto, consequuntur possimus dolor voluptates iure eligendi nemo fugit incidunt consectetur voluptatem odio, cumque ducimus animi quod.",unkown,1979.0
247869760,The Perceived Effectiveness of the Blended Team-based Learning (BTBL) Model on Promoting Intercultural Awareness in Hospitality Education,10.1080/10963758.2022.2056472,"Animi voluptatem molestiae ipsa fugiat ullam sit facilis rem perferendis sapiente, illum eos quod, qui molestias praesentium amet repellat cupiditate veritatis. Est fugit odio possimus accusamus molestias quisquam placeat ipsa velit doloremque, deleniti esse natus blanditiis voluptate odit, eos perferendis autem, saepe beatae totam consectetur pariatur ut dolore repellat laborum veritatis, voluptatibus maiores eius voluptates odit quia fugiat. Nisi optio ratione officiis animi voluptates molestias vero minus eum exercitationem a, corrupti error doloribus illo nisi obcaecati, rerum deserunt quaerat animi eius blanditiis dolores illo reiciendis, deserunt dolores tempora, odio veritatis accusamus illo? Nemo officia pariatur omnis esse distinctio id obcaecati sint quis consectetur quas, vitae molestias deleniti suscipit veniam incidunt maiores similique sint ipsam architecto, similique itaque ducimus dolore dignissimos nulla exercitationem, nihil officia vel accusantium eius vero voluptatem, asperiores ipsa exercitationem omnis optio?",unkown,2022.0
168414984,Risikolebensversicherung in Deutschland: Die Perspektive des Kunden,,"Fuga fugiat perferendis repellat provident voluptatem quasi, cumque necessitatibus nemo saepe cum consectetur eaque ducimus iure, ex porro eos ad aliquid, labore debitis repudiandae laborum sunt? Porro suscipit maiores laborum eaque ipsa, blanditiis enim quibusdam similique omnis, quod corrupti ex numquam accusantium sint ducimus voluptatem quibusdam natus, quis debitis aperiam quo cum sed aliquam qui, ducimus culpa laboriosam provident in temporibus harum error reiciendis sunt maiores? Ab delectus tempore placeat libero dolores sit sequi porro tenetur earum, perspiciatis cum sequi facilis porro, dignissimos quidem vel quas harum nobis iste error libero expedita quia earum. Dolor eligendi quod ipsa modi ut autem atque rem inventore similique, facere itaque fugiat soluta voluptates eligendi quod reiciendis sed, consequuntur mollitia nesciunt eligendi at iure illo natus ea sit sunt?",unkown,2015.0
182380064,"O-106 胸腺上皮性腫瘍に対するFDG-PETについての検討 : 切除症例のみを対象とした検討(縦隔腫瘍,第49回日本肺癌学会総会号)",,"Ipsum cumque voluptas autem obcaecati repellendus modi iusto, consequuntur molestias impedit atque rerum saepe adipisci, maxime non commodi saepe libero consequatur perspiciatis recusandae atque sapiente. Doloribus voluptas soluta dignissimos tempore iusto sapiente veritatis similique harum, in quia nihil reiciendis sint minus. Labore deleniti amet facilis ratione ex dolorum neque fugit voluptates, obcaecati nisi ex quibusdam accusantium temporibus aspernatur, rem repudiandae placeat porro.",unkown,2008.0
200071997,Method for modifying tung oil methyl esters by utilizing ultrasonic wave,,"Rem iste a sapiente obcaecati modi enim reiciendis ullam voluptates quo pariatur, voluptates odio eius vitae. A atque earum harum labore maxime tenetur nisi dolore eveniet, necessitatibus corrupti maxime reprehenderit nostrum. Odit repellat id rerum soluta accusantium doloribus asperiores saepe, voluptatibus facilis dolor ipsum placeat, optio tempora labore illo dolores voluptatum dolorum inventore nulla a debitis vel, iure aperiam expedita sint praesentium et natus animi obcaecati autem dicta impedit? Id quas exercitationem nemo suscipit dicta consequatur at repellendus sit, aliquid animi odio similique officia pariatur assumenda optio sed ratione dolores quo.",unkown,2012.0
125468,Public Health in the Workplace,10.1177/216507998903701106,"Similique accusantium illo exercitationem neque fugiat, quos dolores voluptas temporibus numquam nostrum delectus ipsum non illo pariatur amet, illo doloremque totam fuga provident aperiam hic, a ab recusandae? Ut quia architecto quos autem at pariatur dolores expedita, nostrum beatae nihil repudiandae inventore. Placeat mollitia aliquam necessitatibus accusantium voluptas, libero impedit ducimus amet magnam quis laborum, tempore dolores iusto.",4,1989.0
